fixed_baseline_cap_ratio,lhs_sample_id,demand_scale,PV_potential_scale,PV_capacity_factor_scale,wind_potential_scale,wind_capacity_factor_scale,grid_existing_capacity_scale,grid_carbon_factor_scale,PV_capex,wind_capex,BESS_power_capex,BESS_energy_capex,BESS_degradation_cost,TOU_price_scale,DR_fraction
0.25,0,1.0202452984761474,1.107467918865382,1.0342771715202272,0.9924355837124677,1.084342402005821,0.8284142314931632,1.1134828440035733,4240.852378159638,9665.193137911021,992.6728370803287,1351.9776603452428,0.11521651687113886,1.1169143292991413,0.02739317901378541
0.25,1,0.9468381648932956,1.1631610219520863,1.0778381564469313,1.049930227123638,1.0498350210529779,1.1183382284848509,1.0452025286758433,4252.373428442343,11993.078761598765,885.5199353095318,1332.3773359796685,0.06046678893056903,1.0659061542940838,0.07752920213021385
0.25,2,1.029478510530055,0.9218182446810225,0.956273901856661,1.1400556873489016,0.8976969162296972,1.1324449084309531,0.8456814431234648,5885.763473693107,9792.753937509833,754.1353658869077,1370.7407519088433,0.10264312561038769,0.9779974544572387,0.1268318215838627
0.25,3,1.0925036201458174,0.893848587294342,0.9908941189459829,0.7823781059892887,1.0215522220652187,1.1110056688510088,1.0017003248018934,5677.443507712183,9507.240025182955,597.1240707126886,1045.5697212625528,0.04669846376172439,0.876729934321612,0.006617466155859836
0.25,4,1.019916995360033,1.1362926145577537,1.0046455197190969,1.1297362978042238,1.1384713800926252,0.9220024338514163,1.1563382842142798,4896.30232369454,10700.984034475046,801.3721733887714,1024.7430116068322,0.04557585897840559,0.9154915124109397,0.03406819084052316
0.25,5,0.9588164330287234,0.867787317203084,1.0322948398875165,0.8384471937667671,1.0697957066918795,1.133561699564851,1.1021006921875314,5467.963179423503,11079.495152211133,660.3821324764995,1136.7578561270302,0.11111233013073289,0.863276790595161,0.01223549347201647
0.25,6,1.0041394411939808,0.9344146687583169,0.9635029291535211,1.0172160208664622,0.824543567310381,0.9362207830116892,1.1768705303246612,4177.087772392948,11529.815322891453,900.6891122195241,1196.4354382968086,0.07272933540884052,1.0257274332527309,0.03809548961305768
0.25,7,0.9809043726300977,1.0478883793672484,1.092440131961474,1.1370008995819116,0.8149470093678791,1.0962569743016148,0.9016578937264242,6253.436327620559,9967.280875228244,709.0256530813883,1212.8354473696681,0.05954497186604062,0.8612071957873657,0.05502451704743203
0.25,8,0.9988390714013488,1.058007958565819,1.000057027850744,0.9631118266585166,0.9882777613152611,0.8337747271852037,1.058357163619257,5657.838537309519,9344.726782747704,563.0006206866138,1016.5539645004336,0.02559508708757894,0.9891088442165044,0.14562139375872168
0.25,9,1.0995095869640787,1.1451585832306885,0.9314229789428762,0.7325462868481623,0.9833823076460657,1.0449924826835766,1.0129463724595547,6352.260462352916,10801.26425919237,505.8121833848068,1182.7068124805648,0.07748115553986673,1.1234812456747147,0.10842116957538679
